threshold_deg,cue_delay_s,cooldown_s,cue_strength,base_pattern,mean_error_deg,bad_posture_percent,number_of_cues,total_comfort_penalty,mean_pressure_kpa,max_pressure_kpa,norm_mean_error_deg,norm_bad_posture_percent,norm_number_of_cues,norm_total_comfort_penalty,overall_score_lower_is_better
7,2.0,6,1.3,wave,6.80974220984419,84.55555555555556,25,4.262232087635605,0.11839533576765568,3.120014807428371,0.6501212889626464,0.5342857142857141,0.20512820512820512,0.22330733517710974,0.46813318121747544
7,2.0,6,1.0,pulse,7.348994920001596,84.33333333333334,25,3.278578492586969,0.09107162479408246,2.4000113903295164,0.7707383561628242,0.5228571428571431,0.20512820512820512,0.1152469199726302,0.471532507833767
7,2.0,6,1.0,wave,7.317283008768308,84.44444444444444,25,3.278523170813277,0.09107008807814658,2.4000113903295164,0.7636452110451017,0.5285714285714282,0.20512820512820512,0.11524084253453097,0.47232943463814486
8,1.0,4,1.6,pulse,5.705251636832272,82.55555555555556,38,7.8594767348550425,0.21831879819041786,3.841270968368489,0.40307493915746,0.43142857142857133,0.5384615384615384,0.618486849720951,0.47245511572256615
8,0.5,3,1.6,pulse,4.7591653342795315,81.05555555555556,50,10.481111211559785,0.2911419780988829,3.8496129414792297,0.19145958149173392,0.35428571428571415,0.8461538461538461,0.9064895688622213,0.4732067651893338
7,1.0,6,1.0,pulse,6.588284530700517,86.16666666666667,26,3.4046692180569043,0.0945741449460251,2.4000113903295164,0.6005868586962306,0.6171428571428572,0.23076923076923078,0.129098763971677,0.47675767625960186
7,2.0,3,1.3,pulse,5.252826213050776,82.16666666666667,49,8.352499124544702,0.23201386457068615,3.1278105149518742,0.3018789197115999,0.4114285714285715,0.8205128205128205,0.672648400497711,0.47719354922158136
6,0.5,8,1.6,pulse,6.619514128867065,86.11111111111111,20,4.168917753133697,0.11580327092038045,3.8400003199597705,0.6075721226916393,0.6142857142857142,0.07692307692307693,0.21305617991110654,0.47862514577601023
8,0.5,8,1.6,wave,7.434049957933877,84.44444444444444,19,3.986884991528874,0.1107468053202465,3.8400003199597705,0.7897629971757493,0.5285714285714282,0.05128205128205128,0.19305875815730036,0.47903784891074525
5,2.0,6,1.6,wave,5.809023823842734,86.44444444444444,26,5.414085222616937,0.1503912561838038,3.8400182245272254,0.42628612867655724,0.6314285714285711,0.23076923076923078,0.3498455074027803,0.48376041386947544
8,1.0,6,1.3,pulse,7.003741129807485,84.83333333333334,25,4.262291762704092,0.118396993408447,3.120014807428371,0.6935138956667359,0.5485714285714288,0.20512820512820512,0.2233138908514961,0.48541121545694665
8,1.0,8,1.3,wave,7.666122429265715,84.88888888888889,19,3.239343357160549,0.08998175992112635,3.1200002599673136,0.8416716855192402,0.551428571428571,0.05128205128205128,0.11093669831927133,0.4858763233147264
8,1.0,3,1.3,pulse,4.916267592523613,83.16666666666667,50,8.510904285608223,0.23641400793356177,3.1278105149518742,0.22659934673166165,0.4628571428571429,0.8461538461538461,0.6900501845822904,0.4875609725004725
5,0.5,6,1.3,wave,6.6018075682901625,85.72222222222223,26,4.4227232558074485,0.12285342377242911,3.120014807428371,0.6036116170386127,0.5942857142857144,0.23076923076923078,0.24093828001033013,0.4895960547672138
7,1.0,8,1.6,pulse,6.985726629021689,86.0,19,3.9868852474965437,0.11074681243045954,3.8400003199597705,0.6894845116489462,0.6085714285714284,0.05128205128205128,0.19305878627692785,0.48996823315297
6,2.0,8,1.0,pulse,6.8103305184590415,87.72222222222223,20,2.551431022933908,0.07087308397038633,2.4000001999748566,0.6502528785836078,0.6971428571428573,0.07692307692307693,0.03536528493249053,0.4910428700389936
6,1.0,6,1.3,pulse,6.200015423578778,86.77777777777777,26,4.432709538567411,0.12313082051576141,3.120014807428371,0.5137409697404092,0.648571428571428,0.23076923076923078,0.24203533477312755,0.4917763753237935
7,0.5,3,1.0,wave,5.789464848299211,83.11111111111111,50,6.554244867924389,0.18206235744234414,2.4060080884245187,0.4219112850771414,0.45999999999999996,0.8461538461538461,0.4750990776550433,0.4921130214156787
6,2.0,8,1.0,wave,7.161319445548998,87.05555555555556,20,2.601681264515441,0.07226892401431782,2.4000001999748566,0.7287601428177923,0.6628571428571427,0.07692307692307693,0.040885583945027906,0.4963451744714755
